epoch,accuracy,loss,val_accuracy,val_loss
1,0.5121951103210449,1.434570074081421,0.0,1.1884030103683472
2,0.5853658318519592,1.3197699785232544,0.0,1.1705701351165771
3,0.5853658318519592,1.2925770282745361,0.09090909361839294,1.1505916118621826
4,0.5609756112098694,1.1331212520599365,0.1818181872367859,1.132081151008606
5,0.6585366129875183,1.4095169305801392,0.09090909361839294,1.11201810836792
6,0.5609756112098694,1.259232997894287,0.0,1.0902972221374512
7,0.5853658318519592,1.168201208114624,0.0,1.0703531503677368
8,0.707317054271698,1.0786329507827759,0.0,1.055686116218567
9,0.6341463327407837,1.0964725017547607,0.09090909361839294,1.0436440706253052
10,0.6585366129875183,1.1679892539978027,0.5454545617103577,1.0333665609359741
11,0.6829268336296082,0.9591183662414551,0.6363636255264282,1.0234681367874146
12,0.5121951103210449,1.1408157348632812,0.6363636255264282,1.0137476921081543
13,0.5609756112098694,1.0574095249176025,0.6363636255264282,1.0055819749832153
14,0.6829268336296082,0.9282853007316589,0.6363636255264282,1.000605821609497
15,0.5121951103210449,1.071783185005188,0.6363636255264282,0.9928528070449829
16,0.707317054271698,1.026200294494629,0.6363636255264282,0.9825281500816345
17,0.5609756112098694,0.9712072014808655,0.6363636255264282,0.9750865697860718
18,0.6585366129875183,0.9592629671096802,0.6363636255264282,0.9699208736419678
19,0.6341463327407837,0.9857487678527832,0.6363636255264282,0.9652965664863586
20,0.6097561120986938,1.0383137464523315,0.6363636255264282,0.9602251052856445
21,0.6829268336296082,0.9690186977386475,0.6363636255264282,0.9571103453636169
22,0.6341463327407837,1.0157101154327393,0.6363636255264282,0.9503207802772522
23,0.5853658318519592,0.870988130569458,0.6363636255264282,0.9454120993614197
24,0.5853658318519592,0.951930046081543,0.6363636255264282,0.9431753754615784
25,0.6097561120986938,0.9433900117874146,0.6363636255264282,0.9391821026802063
26,0.6097561120986938,1.0087265968322754,0.6363636255264282,0.931396484375
27,0.6829268336296082,0.8833153247833252,0.6363636255264282,0.9259113669395447
28,0.707317054271698,0.969089150428772,0.6363636255264282,0.9245406985282898
29,0.5853658318519592,0.9469014406204224,0.6363636255264282,0.9234455227851868
30,0.6585366129875183,1.0143756866455078,0.6363636255264282,0.9179699420928955
31,0.707317054271698,0.8632673025131226,0.6363636255264282,0.9110645055770874
32,0.707317054271698,0.8816114068031311,0.6363636255264282,0.9044382572174072
33,0.707317054271698,0.8394920825958252,0.6363636255264282,0.9024592041969299
34,0.6585366129875183,0.8412814140319824,0.6363636255264282,0.9017654657363892
35,0.6585366129875183,0.9606664776802063,0.6363636255264282,0.9009712338447571
36,0.707317054271698,0.8835616707801819,0.6363636255264282,0.8997117877006531
37,0.6829268336296082,0.8361073136329651,0.6363636255264282,0.8987368941307068
38,0.6341463327407837,0.9404318332672119,0.6363636255264282,0.8940488696098328
39,0.6585366129875183,0.8827016949653625,0.6363636255264282,0.887608528137207
40,0.6585366129875183,0.925039529800415,0.6363636255264282,0.880641758441925
41,0.6341463327407837,0.8882381319999695,0.6363636255264282,0.877252995967865
42,0.7560975551605225,0.7949481010437012,0.6363636255264282,0.875828742980957
43,0.6585366129875183,0.8625090718269348,0.6363636255264282,0.8716652393341064
44,0.6829268336296082,0.9304914474487305,0.6363636255264282,0.8680915236473083
45,0.707317054271698,0.8195415735244751,0.6363636255264282,0.8595667481422424
46,0.6829268336296082,0.883671760559082,0.6363636255264282,0.8628002405166626
47,0.6341463327407837,0.8611943125724792,0.6363636255264282,0.868347704410553
48,0.6829268336296082,0.8027366995811462,0.6363636255264282,0.8736085295677185
49,0.707317054271698,0.7782282829284668,0.6363636255264282,0.8778024911880493
50,0.707317054271698,0.7524418830871582,0.6363636255264282,0.8801425695419312
51,0.6585366129875183,0.8833580017089844,0.6363636255264282,0.872145414352417
52,0.7560975551605225,0.7754705548286438,0.6363636255264282,0.8651092052459717
53,0.6829268336296082,0.7954532504081726,0.6363636255264282,0.8546621799468994
54,0.6341463327407837,0.8482598066329956,0.6363636255264282,0.8508296608924866
55,0.6341463327407837,0.8125309944152832,0.6363636255264282,0.8511442542076111
56,0.6097561120986938,0.7790172100067139,0.6363636255264282,0.8556175231933594
57,0.6585366129875183,0.9774622321128845,0.6363636255264282,0.860755980014801
58,0.707317054271698,0.8166626691818237,0.6363636255264282,0.8719953894615173
59,0.7317073345184326,0.7632085084915161,0.6363636255264282,0.8775524497032166
60,0.6341463327407837,0.8171701431274414,0.6363636255264282,0.8894864916801453
61,0.5853658318519592,0.8703483939170837,0.6363636255264282,0.8982665538787842
62,0.707317054271698,0.8599845170974731,0.6363636255264282,0.9333651065826416
63,0.5853658318519592,0.8638119697570801,0.5454545617103577,0.9578302502632141
64,0.707317054271698,0.8087133169174194,0.4545454680919647,0.9665296673774719
65,0.6585366129875183,0.8164154887199402,0.4545454680919647,0.9725263118743896
66,0.6585366129875183,0.7879497408866882,0.5454545617103577,0.9644390344619751
67,0.6829268336296082,0.7833517789840698,0.6363636255264282,0.948208749294281
68,0.7317073345184326,0.7368752360343933,0.6363636255264282,0.9435278177261353
69,0.6829268336296082,0.6671103239059448,0.6363636255264282,0.9349464774131775
70,0.6585366129875183,0.7508492469787598,0.6363636255264282,0.9280458688735962
71,0.6097561120986938,0.7642384171485901,0.6363636255264282,0.9227399826049805
72,0.7317073345184326,0.8052837252616882,0.6363636255264282,0.9177247881889343
73,0.7317073345184326,0.7303823828697205,0.6363636255264282,0.9122876524925232
74,0.6585366129875183,0.8810023069381714,0.6363636255264282,0.9117868542671204
