Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Timestamp
6594.66015625,6594.66015625,6473.52001953125,6506.47998046875,10025820000,0.0,0.0,^GSPC,2026-03-20 00:00:00-04:00
6574.9599609375,6651.6201171875,6565.5498046875,6581.0,6020650000,0.0,0.0,^GSPC,2026-03-23 00:00:00-04:00
6552.08984375,6595.75,6525.10986328125,6556.3701171875,5278580000,0.0,0.0,^GSPC,2026-03-24 00:00:00-04:00
6598.35009765625,6633.93994140625,6568.41015625,6591.89990234375,4936720000,0.0,0.0,^GSPC,2026-03-25 00:00:00-04:00
6555.85986328125,6573.22021484375,6473.7900390625,6477.16015625,4845560000,0.0,0.0,^GSPC,2026-03-26 00:00:00-04:00
6453.89013671875,6453.89013671875,6356.080078125,6368.85009765625,5303490000,0.0,0.0,^GSPC,2026-03-27 00:00:00-04:00
4492.0,4492.0,4492.0,4492.0,74348,0.0,0.0,GC=F,2026-03-27 00:00:00-04:00
4482.7998046875,4579.10009765625,4413.39990234375,4526.0,10816,0.0,0.0,GC=F,2026-03-30 00:00:00-04:00
6403.3701171875,6427.31005859375,6316.91015625,6343.72021484375,5458640000,0.0,0.0,^GSPC,2026-03-30 00:00:00-04:00
6395.8798828125,6539.0498046875,6395.8798828125,6528.52001953125,6396100000,0.0,0.0,^GSPC,2026-03-31 00:00:00-04:00
4510.0,4684.10009765625,4508.60009765625,4647.60009765625,4264,0.0,0.0,GC=F,2026-03-31 00:00:00-04:00
6556.56005859375,6609.669921875,6554.2900390625,6575.31982421875,5637260000,0.0,0.0,^GSPC,2026-04-01 00:00:00-04:00
4668.39990234375,4789.10009765625,4668.0,4783.2001953125,1637,0.0,0.0,GC=F,2026-04-01 00:00:00-04:00
6512.60986328125,6601.91015625,6474.93994140625,6582.68994140625,4740740000,0.0,0.0,^GSPC,2026-04-02 00:00:00-04:00
4764.89990234375,4784.39990234375,4558.89990234375,4651.5,0,0.0,0.0,GC=F,2026-04-02 00:00:00-04:00
6587.66015625,6618.1298828125,6579.72021484375,6611.830078125,3906440000,0.0,0.0,^GSPC,2026-04-06 00:00:00-04:00
4656.10009765625,4689.60009765625,4605.0,4656.7998046875,148,0.0,0.0,GC=F,2026-04-06 00:00:00-04:00
6601.93017578125,6618.259765625,6534.5498046875,6616.85009765625,4555680000,0.0,0.0,^GSPC,2026-04-07 00:00:00-04:00
4624.89990234375,4676.2998046875,4608.0,4657.10009765625,327,0.0,0.0,GC=F,2026-04-07 00:00:00-04:00
6754.35986328125,6793.5,6740.27978515625,6782.81005859375,5904880000,0.0,0.0,^GSPC,2026-04-08 00:00:00-04:00
4760.0,4851.0,4738.7998046875,4749.5,405,0.0,0.0,GC=F,2026-04-08 00:00:00-04:00
4711.0,4799.10009765625,4711.0,4792.2001953125,1277,0.0,0.0,GC=F,2026-04-09 00:00:00-04:00
6783.68994140625,6835.31005859375,6761.5498046875,6824.66015625,4912410000,0.0,0.0,^GSPC,2026-04-09 00:00:00-04:00
6839.240234375,6845.77001953125,6808.4599609375,6816.89013671875,4393220000,0.0,0.0,^GSPC,2026-04-10 00:00:00-04:00
4745.89990234375,4791.0,4744.89990234375,4761.89990234375,812,0.0,0.0,GC=F,2026-04-10 00:00:00-04:00
6806.47021484375,6887.0,6790.02001953125,6886.240234375,4785840000,0.0,0.0,^GSPC,2026-04-13 00:00:00-04:00
4704.0,4742.39990234375,4704.0,4742.39990234375,32,0.0,0.0,GC=F,2026-04-13 00:00:00-04:00
6910.2001953125,6969.419921875,6905.169921875,6967.3798828125,5032380000,0.0,0.0,^GSPC,2026-04-14 00:00:00-04:00
4770.10009765625,4841.60009765625,4770.10009765625,4825.0,288,0.0,0.0,GC=F,2026-04-14 00:00:00-04:00
4843.60009765625,4843.60009765625,4798.0,4800.0,182,0.0,0.0,GC=F,2026-04-15 00:00:00-04:00
6978.169921875,7026.240234375,6967.1298828125,7022.9501953125,5278610000,0.0,0.0,^GSPC,2026-04-15 00:00:00-04:00
4810.89990234375,4810.89990234375,4785.39990234375,4785.39990234375,805,0.0,0.0,GC=F,2026-04-16 00:00:00-04:00
7037.77978515625,7051.22998046875,7008.52001953125,7041.27978515625,5173650000,0.0,0.0,^GSPC,2026-04-16 00:00:00-04:00
4771.60009765625,4879.7001953125,4767.2001953125,4857.60009765625,1902,0.0,0.0,GC=F,2026-04-17 00:00:00-04:00
7074.5498046875,7147.52001953125,7074.5498046875,7126.06005859375,6145300000,0.0,0.0,^GSPC,2026-04-17 00:00:00-04:00
4793.89990234375,4811.0,4770.0,4806.60009765625,724,0.0,0.0,GC=F,2026-04-20 00:00:00-04:00
7117.0498046875,7122.64990234375,7084.41015625,7109.14013671875,4661130000,0.0,0.0,^GSPC,2026-04-20 00:00:00-04:00
4698.39990234375,4705.0,4676.39990234375,4698.39990234375,1197,0.0,0.0,GC=F,2026-04-21 00:00:00-04:00
7122.64013671875,7137.27001953125,7050.2001953125,7064.009765625,5160270000,0.0,0.0,^GSPC,2026-04-21 00:00:00-04:00
7102.91015625,7138.64013671875,7102.91015625,7137.89990234375,4919460000,0.0,0.0,^GSPC,2026-04-22 00:00:00-04:00
4754.2001953125,4754.2001953125,4732.5,4732.5,765,0.0,0.0,GC=F,2026-04-22 00:00:00-04:00
4711.5,4732.39990234375,4705.10009765625,4705.10009765625,292,0.0,0.0,GC=F,2026-04-23 00:00:00-04:00
7118.7998046875,7147.77978515625,7046.5498046875,7108.39990234375,5307260000,0.0,0.0,^GSPC,2026-04-23 00:00:00-04:00
7136.47998046875,7168.58984375,7112.81982421875,7165.080078125,4608830000,0.0,0.0,^GSPC,2026-04-24 00:00:00-04:00
4695.0,4722.2998046875,4657.5,4722.2998046875,45,0.0,0.0,GC=F,2026-04-24 00:00:00-04:00
7152.72021484375,7178.740234375,7146.72021484375,7173.91015625,4783750000,0.0,0.0,^GSPC,2026-04-27 00:00:00-04:00
4707.60009765625,4711.10009765625,4675.39990234375,4675.39990234375,538,0.0,0.0,GC=F,2026-04-27 00:00:00-04:00
7133.740234375,7152.52001953125,7115.169921875,7138.7998046875,4900650000,0.0,0.0,^GSPC,2026-04-28 00:00:00-04:00
4680.89990234375,4680.89990234375,4591.5,4591.5,2660,0.0,0.0,GC=F,2026-04-28 00:00:00-04:00
4598.60009765625,4601.60009765625,4515.7001953125,4545.2001953125,507,0.0,0.0,GC=F,2026-04-29 00:00:00-04:00
7131.60986328125,7145.6298828125,7107.85986328125,7135.9501953125,5123100000,0.0,0.0,^GSPC,2026-04-29 00:00:00-04:00
4561.89990234375,4636.7001953125,4561.89990234375,4614.7001953125,77,0.0,0.0,GC=F,2026-04-30 00:00:00-04:00
7161.75,7219.830078125,7126.14990234375,7209.009765625,5723790000,0.0,0.0,^GSPC,2026-04-30 00:00:00-04:00
4636.7001953125,4636.7001953125,4581.7001953125,4629.89990234375,77,0.0,0.0,GC=F,2026-05-01 00:00:00-04:00
7234.5400390625,7272.52001953125,7229.31982421875,7230.1201171875,4847390000,0.0,0.0,^GSPC,2026-05-01 00:00:00-04:00
